,date,dn1,dn,day,month,year,ratiop,sumx,sumy,tilt,y2,corrected
6,2017-10-03 17:50:00+10:00,14.0,276.0,3,10,2017,1.0311506061041071,53.28140124,54.94114918270213,0,1.0311506061041071,0.9593794
7,2017-10-04 17:50:00+10:00,15.0,277.0,4,10,2017,1.0680357963225082,51.64744739399999,55.161322605475625,-1,1.0680357963225082,0.9595015
8,2017-10-06 17:50:00+10:00,17.0,279.0,6,10,2017,1.0412113406640826,53.39268372,55.59306779775454,-1,1.0412113406640826,0.9597457
9,2017-10-08 17:50:00+10:00,19.0,281.0,8,10,2017,1.0321992313584247,54.26563835999998,56.012950204366234,-2,1.0321992313584247,0.9599899000000001
10,2017-10-12 18:00:00+10:00,23.0,285.0,12,10,2017,1.0174558680507118,55.83772805999999,56.81242407326687,1,1.0174558680507118,0.9604783
11,2017-10-17 18:00:00+10:00,28.0,290.0,17,10,2017,3.7975452317053113,15.206286187799998,57.74655960442622,3,3.7975452317053113,0.9610888000000001
12,2017-10-26 18:00:00+10:00,37.0,299.0,26,10,2017,0.9431970401339835,62.79157067999999,59.22482361073982,0,0.9431970401339835,0.9621877
13,2017-10-27 18:00:00+10:00,38.0,300.0,27,10,2017,0.954528805636854,62.20005437999999,59.37174361788876,2,0.954528805636854,0.9623098
14,2017-10-28 18:00:00+10:00,39.0,301.0,28,10,2017,1.0099133909749665,58.93098318,59.51518905680251,9,1.0099133909749665,0.9624319
15,2017-10-29 18:00:00+10:00,40.0,302.0,29,10,2017,1.0145431593662981,58.79644271999998,59.65152875664836,2,1.0145431593662981,0.962554
16,2017-10-31 18:00:00+10:00,42.0,304.0,31,10,2017,1.0073364550783477,59.48668488,59.92310627138194,1,1.0073364550783477,0.9627982
17,2017-11-03 18:00:00+10:00,45.0,307.0,3,11,2017,1.0444680235194368,57.73719897,60.304658091744365,-2,1.0444680235194368,0.9631645
18,2017-11-15 18:10:00+10:00,57.0,319.0,15,11,2017,0.9933192234544048,61.95383209199999,61.53993238365002,0,0.9933192234544048,0.9646297
19,2017-12-06 18:20:00+10:00,78.0,340.0,6,12,2017,1.0290917453974506,60.98383041599998,62.757956483823556,1,1.0290917453974506,0.9671938
