,date,dn1,dn,day,month,year,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,1.0,1.1,1.2,1.3,1.4,1.5,1.6,1.7,1.8,1.9,sumx,sumy,tilt,abs_tilt,cloudless,tilted,consec_clouds
0,2017-09-19 17:50:00+10:00,0.0,262.0,19,9,2017,0.5534002808337227,0.5209763749036357,0.48861901941856506,0.45634237105086217,0.4241648543243789,0.3921108749074126,0.36021341361230236,0.32851806498385266,0.2970895239556222,0.26602237127083456,0.2354596979057635,0.2056265722325915,0.1768924973742897,0.14989087562435938,0.12574276962313727,0.1064089478309683,0.09487958048719555,0.09406942094695199,0.10422872766228905,17.0776521684,51.624964918218915,9,9,0,0,0
1,2017-09-20 17:50:00+10:00,1.0,263.0,20,9,2017,0.4101380428593203,0.3806902649596156,0.35195107479993815,0.3241090215558671,0.29741616337756765,0.2722107790037402,0.2489450938594187,0.22821312164463087,0.21076388592014525,0.1974695417242708,0.18920793268964078,0.18664855011449288,0.19002194165479339,0.19902666390193455,0.21294953665333524,0.23090260925564982,0.25202607473141553,0.27559188542343444,0.30102699191471577,41.971501302,51.8709212999502,4,4,0,0,0
2,2017-09-21 17:50:00+10:00,2.0,264.0,21,9,2017,0.4630695569681366,0.4346037621442657,0.4068810871797941,0.3800641810203263,0.3543587417294373,0.3300245862672466,0.3073875579737135,0.28684973001311553,0.26889253982870204,0.2540637752570039,0.24293698642967315,0.23603629044831123,0.23373629370948446,0.23617144861492417,0.24319955764777956,0.2544403075274396,0.26936682962944597,0.2874054301330412,0.3080098167115398,43.45506126,52.120406561831,1,1,0,0,0
3,2017-09-22 17:50:00+10:00,3.0,265.0,22,9,2017,0.35347373167913465,0.3213802924671238,0.2895580418592264,0.25810730451589176,0.22718242780546083,0.19703117566192885,0.16807042179358817,0.14103546717418894,0.11726590783438792,0.09913897870877492,0.09012621637808287,0.09291870897646733,0.10659264466693831,0.12769906474342418,0.15319616247025458,0.18124025787582174,0.21081734220455017,0.24136450918372573,0.272555782607571,52.69805602199999,52.36798987214202,3,3,1,0,0
4,2017-09-23 17:50:00+10:00,4.0,266.0,23,9,2017,0.3538291893069009,0.3216177170426659,0.2896376659470001,0.2579751152030904,0.22676309995720548,0.19621673692549108,0.16670234883319807,0.13887944150469203,0.11399336098272198,0.09439615634627921,0.08388052948746362,0.0858511096642051,0.0995692911664311,0.12110671065439658,0.14706729037077548,0.17549900665761128,0.2053781285530342,0.23615590390125132,0.2675223488163549,51.21384054,52.61358180334583,3,3,1,0,0
5,2017-09-24 17:50:00+10:00,5.0,267.0,24,9,2017,0.4770618770912128,0.44839330129541843,0.4203884726181859,0.3931892424326145,0.36697478116357013,0.3419716316395292,0.318465227102094,0.29681139144414526,0.27744422953030706,0.26087352510202444,0.24766123816512392,0.23836648017421136,0.23345763222186156,0.233211814463736,0.23764349761593073,0.24650052881004642,0.2593298799578772,0.2755773208468655,0.29467801085615514,47.110676652,52.857094911063115,2,2,0,0,0
6,2017-09-25 17:50:00+10:00,6.0,268.0,25,9,2017,0.3267666206592557,0.29385971622790236,0.2610063335057079,0.2282295868258944,0.19556801205570482,0.16309081899419803,0.13093528174274643,0.09941401125587211,0.06939674435439398,0.04407193533385741,0.035530658665868464,0.052689513097630314,0.0805208466161181,0.11128653805902859,0.14310641226243845,0.17540770157597554,0.20796620681683403,0.2406775632406852,0.2734869294522902,54.799245,53.09844381694251,2,2,1,0,0
7,2017-09-26 17:50:00+10:00,7.0,269.0,26,9,2017,0.5785259399872816,0.550586616558488,0.5232446343604091,0.4965986693488737,0.4707669225526204,0.4458909264593045,0.42213967734185803,0.399713725098749,0.37884849588830044,0.3598156049976377,0.3429202856660475,0.3284925280751911,0.31686957196874543,0.3083687342072163,0.3032526880209716,0.3016936779347685,0.30374647944980365,0.30933919604371385,0.3182852786389461,43.026210299999995,53.33754529028846,6,6,0,0,0
8,2017-09-27 17:50:00+10:00,8.0,270.0,27,9,2017,0.37310523322576344,0.34144368323092633,0.31006187270999885,0.27905419425416705,0.2485607050310523,0.2187964971669008,0.19010442549230142,0.1630514653208944,0.13860075911445865,0.11837593861591149,0.10485159794477328,0.10076286355710234,0.1071949349790491,0.1225016564393249,0.14387793405479077,0.16903658277914738,0.1965303413208985,0.22550673190405357,0.25546173791913535,51.90460458,53.57431832817174,3,3,0,0,0
9,2017-09-28 17:50:00+10:00,9.0,271.0,28,9,2017,0.3377740426185138,0.30608455802881085,0.27469052610736694,0.2437061535439804,0.21331003044834276,0.18379424522316865,0.1556603858952116,0.12981010195492781,0.10789738214925296,0.0927561494046929,0.08795588156979664,0.09507600446834671,0.11186300470316668,0.1347512251869603,0.16116181070639443,0.18962869361874304,0.21935275090490466,0.24988575967461168,0.28096411179966924,53.033637035999995,53.808684233748515,2,2,1,0,0
