,date,dn1,dn,day,month,year,sum_rawpar,sum_modpar,ratio_sum_par,noon_rawpar,noon_modpar,ratio_noon_par,tilt,old_tilt,tilt_rolling_avg,corrected_ratio,corrected_par
17,2017-11-03 05:30:00+10:00,45,307,19,11,2017,57.73719897,60.304658091744365,1.0444680235194368,2164.27,2209.9878913809744,1.0211239315709104,-2,-2,1.6,0.9792834503507347,2119.4337930905845
18,2017-11-15 05:30:00+10:00,57,319,19,11,2017,61.95383209199999,61.53993238365002,0.9933192234544048,2202.22,2229.129835421771,1.0122194128750857,0,0,1.2,0.9760010786151039,2149.369095347754
19,2017-12-06 05:30:00+10:00,78,340,19,12,2017,60.98383041599998,62.757956483823556,1.0290917453974506,2273.35,2241.1511353308915,0.9858363803773689,1,1,0.4,0.9702569280777501,2205.733587445553
20,2018-02-05 06:00:00+10:00,139,36,19,2,2018,27.021745289999995,61.37582063186504,2.2713492401461775,1114.58,2240.6621409665,2.0103197087391664,-1,13,-0.2,1.0534103453803962,1174.110102754082
21,2018-02-06 06:00:00+10:00,140,37,19,2,2018,60.97958945999999,61.27248410932288,1.004803158760441,2392.49,2239.2169275307474,0.93593575209541,7,7,1.0,1.053136814402427,2519.6192970896623
22,2018-04-27 06:30:00+10:00,220,117,19,4,2018,46.38165949799999,43.47693347292434,0.9373733916269014,1880.2,1767.5090970250155,0.9400644064594275,-2,-2,1.0,1.0312543361648885,1938.9644028572234
23,2018-05-21 06:30:00+10:00,244,141,19,5,2018,32.18483378399999,38.025300127461854,1.1814664131142827,1230.65,1594.233207581709,1.2954399769079015,2,2,1.4,1.024689592693627,1261.0342472484122
24,2018-06-19 06:40:00+10:00,273,170,19,6,2018,39.541471362,34.97608273631634,0.8845417616383625,1631.41,1492.5900529383832,0.9149079954998334,1,1,1.4,1.0167571943325193,1658.7478544060154
25,2018-07-02 06:50:00+10:00,286,183,19,7,2018,14.146703375999998,35.228104089044585,2.4901988224909957,473.837,1500.561038793583,3.166829603415485,3,3,2.2,,
26,2018-07-10 06:50:00+10:00,294,191,19,7,2018,36.53589785399999,35.87913157615189,0.9820240827124987,1639.44,1521.7965033999014,0.9282416577611265,2,2,1.2,1.0110130437951654,1657.4952245195461
27,2018-07-11 06:50:00+10:00,295,192,19,7,2018,36.963079799999996,35.98582893328529,0.9735614328675419,1490.5,1525.273467882287,1.023330069025352,5,5,2.6,1.010739512817196,1506.5072438540308
28,2018-07-17 06:50:00+10:00,301,198,19,7,2018,36.977759279999994,36.73757392485556,0.9935045995262796,1624.67,1549.7213911090328,0.9538684108828456,1,1,2.4,1.0090983269493807,1639.4517788448504
29,2018-07-18 06:50:00+10:00,302,199,19,7,2018,36.35676521999999,33.565688072764175,0.9232308724291997,1663.2,1554.3674365232928,0.9345643557739856,0,0,2.2,1.0088247959714116,1677.8774006596518
30,2018-07-20 06:50:00+10:00,304,201,19,7,2018,40.47978984,37.17937060641285,0.9184674810162713,1668.48,1564.1218286341366,0.937453148155289,0,0,1.6,1.0082777340154732,1682.2912336501367
31,2018-07-21 06:50:00+10:00,305,202,19,7,2018,40.84675758,37.3376705993548,0.9140914190368106,1666.0,1569.223638209285,0.9419109473044928,0,0,1.2,1.0080042030375038,1679.3350022604814
32,2018-07-25 06:40:00+10:00,309,206,19,7,2018,41.966196,38.01366354760905,0.9058162800271211,1687.03,1591.0483951603119,0.943106165960482,1,1,0.4,1.006910079125627,1698.6875107873063
33,2018-08-08 06:40:00+10:00,323,220,19,8,2018,44.20525704,40.893420096686796,0.9250804731139461,1767.28,1682.2976756606495,0.9519134917277678,0,0,0.2,1.0030806454340577,1772.7243630627015
34,2018-08-09 06:40:00+10:00,324,221,19,8,2018,44.81640047999999,41.123585380802425,0.9176012562444513,1793.43,1689.5101723371422,0.9420552641235744,3,3,0.8,1.0028071144560886,1798.464363278983
35,2018-08-12 06:40:00+10:00,327,224,19,8,2018,45.324115199999994,41.829508677018104,0.9228974132741175,1827.79,1711.5528404648412,0.9364056267212543,-4,-4,0.0,1.0019865215221808,1831.4209441730268
36,2018-08-14 06:30:00+10:00,329,226,19,8,2018,42.642365999999996,42.3079917382474,0.9921586372165045,1817.87,1726.542888588019,0.9497614728159984,2,2,0.4,1.0014394595662424,1820.486750361685
37,2018-08-19 06:30:00+10:00,334,231,19,8,2018,46.44077837999999,43.55071479809392,0.9377688384492993,1830.51,1764.8007559630842,0.964103313264109,0,0,0.2,1.0000718046763961,1830.6414391781898
38,2018-08-20 06:30:00+10:00,335,232,19,8,2018,46.181631899999985,43.80535298505545,0.9485449340532175,1798.95,1772.5523967167185,0.9853261050705792,-2,-2,-0.2,0.999798273698427,1798.5871044697853
39,2018-08-21 06:30:00+10:00,336,233,19,8,2018,47.278121940000005,44.06137681041402,0.9319612328580159,1877.45,1780.3275027404748,0.948268930059642,2,2,-0.4,0.9995247427204578,1876.5577282205236
40,2018-08-23 06:30:00+10:00,338,235,19,8,2018,49.15637333999999,44.57709888351276,0.9068427114259681,1911.85,1795.931314445462,0.9393683157389241,1,1,0.6,0.9989776807645193,1909.895478969646
41,2018-08-29 06:20:00+10:00,344,241,19,8,2018,48.91147602,46.142832577999194,0.9433948090041547,1671.9,1842.8738633470807,1.1022632115240627,-1,-1,0.0,0.9973364948967038,1667.4468858177993
42,2018-08-30 06:20:00+10:00,345,242,19,8,2018,50.36616840000001,46.407513949275945,0.9214025093335458,1961.62,1850.6741620991384,0.9434417278061696,4,4,0.8,0.9970629639187347,1955.8586512822683
43,2018-08-31 06:20:00+10:00,346,243,19,8,2018,50.841133079999985,46.67246088726593,0.9180059148922874,1961.0,1858.4571942864932,0.94770892110479,1,1,1.4,0.9967894329407654,1954.7040779968409
44,2018-09-01 06:20:00+10:00,347,244,19,9,2018,49.6326027,46.93755742272218,0.9457001017341808,1947.94,1866.2859111442192,0.958081825489604,2,7,1.4,0.9965159019627963,1941.1531860694095
45,2018-09-02 06:20:00+10:00,348,245,19,9,2018,49.39381223999998,47.20268823142966,0.9556397064894718,1921.91,1874.1647623264478,0.9751574019212386,0,0,1.2,0.9962423709848269,1914.6881752194488
46,2018-09-03 06:20:00+10:00,349,246,19,9,2018,50.58038411999999,47.46773870360366,0.9384614120562687,1934.52,1882.0179253242788,0.9728604125696705,0,0,1.4,0.9959688400068577,1926.7216403700663
47,2018-09-04 06:20:00+10:00,350,247,19,9,2018,51.16930086000002,47.732595014486755,0.9328365682596261,2007.84,1889.841557054581,0.941231152409844,0,0,0.6,0.9956953090288885,1999.1968692805633
48,2018-09-05 06:20:00+10:00,351,248,19,9,2018,49.113712799999995,47.99714419611299,0.9772656445576844,2210.86,1897.6318649071388,0.8583229444230475,0,0,0.4,0.9954217780509192,2200.7381922216555
49,2018-09-07 06:20:00+10:00,353,250,19,9,2018,51.93942035999999,48.52487402203995,0.9342590596064935,1819.01,1913.0976068876098,1.0517246232223076,-5,-5,-1.0,0.9948747160949808,1809.687057323931
50,2018-09-10 06:10:00+10:00,356,253,19,9,2018,51.36544482,49.30969987405444,0.9599780561981014,2061.38,1935.954673764481,0.9391546797603939,2,2,-0.6,0.9940541231610731,2049.123288401773
51,2018-09-14 06:10:00+10:00,360,257,19,9,2018,51.874297860000006,50.35204816008035,0.9706550302805457,2069.94,1965.6476995103503,0.949615785728258,-5,-5,-1.6,0.9929599992491962,2055.3676208458814
52,2018-09-16 06:10:00+10:00,362,259,19,9,2018,50.29285434000001,50.865814923943724,1.0113924849059126,1887.96,1980.0997284852926,1.0488038562709445,5,5,-0.6,0.9924129372932577,1873.635929092179
53,2018-09-17 06:10:00+10:00,363,260,19,9,2018,48.52155617999998,51.12049505630621,1.0535625623107587,1978.44,1987.216342073774,1.0044359910200835,-3,-3,-1.2,0.9921394063152885,1962.8882870304194
54,2018-09-18 06:10:00+10:00,364,261,19,9,2018,52.27925225999998,51.373576735030554,0.9826761958938274,1988.13,1994.2561345085765,1.0030813550967876,1,1,0.0,0.9918658753373193,1971.9583027343847
55,2018-09-22 06:00:00+10:00,368,265,19,9,2018,52.55960957999999,52.36798987214202,0.9963542402732974,2105.06,2021.5923165361435,0.9603490240354876,-1,-7,-0.6,0.9907717514254424,2085.6339830556417
56,2018-09-24 06:00:00+10:00,370,267,19,9,2018,54.13725414,52.857094911063115,0.9763534510703781,1970.68,2034.7308780780397,1.0325019171443561,3,3,1.0,0.9902246894695039,1951.415991043762
57,2018-09-25 06:00:00+10:00,371,268,19,9,2018,54.6218244,53.09844381694251,0.9721104045902669,1684.74,2041.1595225401154,1.2115575830930088,1,1,0.2,0.9899511584915347,1667.8103147570282
58,2018-09-26 06:00:00+10:00,372,269,19,9,2018,54.34951193999999,53.33754529028846,0.9813803912199118,2097.82,2047.491534555328,0.9760091592964734,2,2,1.2,0.9896776275135655,2076.165520550508
59,2018-09-27 06:00:00+10:00,373,270,19,9,2018,54.31963946399999,53.57431832817174,0.986278974912523,2099.02,2053.7248887464975,0.9784208291233516,0,0,1.0,0.9894040965355962,2076.7789867101474
60,2018-09-29 06:00:00+10:00,375,272,19,9,2018,53.35546518,54.04056669251937,1.0128403249827944,2121.35,2066.0349892883805,0.9739246184214677,4,4,2.0,0.9888570345796578,2097.711870305557
61,2018-10-01 05:50:00+10:00,377,274,19,10,2018,53.40651438,54.4925204257871,1.0203347111938426,2128.71,2078.0890937828053,0.9762199143062255,3,3,2.0,0.9883099726237193,2103.825321823838
62,2018-10-02 05:50:00+10:00,378,275,19,10,2018,54.7409256,54.7181929061896,0.9995847221514574,2148.38,2083.9528347760743,0.9700112804885886,-1,-1,1.6,0.9880364416457501,2122.677730502897
63,2018-10-04 05:50:00+10:00,380,277,19,10,2018,58.41498437999999,55.161322605475625,0.94430090482677,2154.22,2095.3458368986835,0.9726703107847312,0,0,1.2,0.9874893796898117,2127.269371515386
64,2018-10-05 05:50:00+10:00,381,278,19,10,2018,54.8427015,55.37864921301668,1.0097724528215788,2119.38,2100.872307245897,0.9912674023751743,4,4,2.0,0.9872158487118423,2092.2855254429046
65,2018-10-06 05:50:00+10:00,382,279,19,10,2018,53.09435378999999,55.59306779775454,1.047061765129255,2231.69,2106.2837619283396,0.9438066048278836,0,0,1.2,0.9869423177338732,2202.5493010635078
66,2018-10-07 05:50:00+10:00,383,280,19,10,2018,57.12304067999999,55.80451996775751,0.9769178829322347,2107.44,2111.579105192128,1.0019640441446152,-3,-3,0.0,0.9866687867559039,2079.345267960862
67,2018-10-08 05:50:00+10:00,384,281,19,10,2018,58.14265938,56.012950204366234,0.9633709706720718,2134.89,2116.75736288127,0.9915065239339125,0,0,0.2,0.9863952557779347,2105.845367607755
68,2018-10-09 05:50:00+10:00,385,282,19,10,2018,57.618964859999984,56.21830591552504,0.9756910081970719,2150.38,2121.817683152032,0.986717549062041,1,1,0.4,0.9861217247999654,2120.5364345753496
69,2018-10-10 05:50:00+10:00,386,283,19,10,2018,58.848480431999995,56.416491217333665,0.958673712612231,2143.12,2126.7593370177096,0.9923659603837908,-1,-1,-0.6,0.9858481938219962,2112.790981143796
70,2018-10-11 05:50:00+10:00,387,284,19,10,2018,58.35803621339999,56.61605411049562,0.9701500904428243,2184.85,2131.5817187199714,0.9756192501636137,-1,-1,-0.8,0.985574662844027,2153.332802114772
71,2018-10-14 05:40:00+10:00,390,287,19,10,2018,54.62945079599999,57.1924405662112,1.0469158985284703,2147.89,2145.329024516176,0.9988076784733745,-1,-1,-0.4,0.9847540699101193,2115.143419219246
72,2018-10-22 05:40:00+10:00,398,295,19,10,2018,46.700574,58.60236586284343,1.254853224348879,1768.07,2176.705733103753,1.231119657651424,5,5,0.6,0.9825658220863654,1737.24515305624
73,2018-10-27 05:40:00+10:00,403,300,19,10,2018,57.93835863,59.37174361788876,1.024739827323078,2166.46,2192.498081016136,1.012018722254801,0,0,0.4,0.9811981671965193,2125.7265813045715
