,date,dn,dn1,day,month,year,hour,minute,zenith_angle,radius_vec,equ_time,declination,rawpar,modpar,corrpar
510,2017-09-22 17:50:00+10:00,265,3,22,9,2017,17,50,88.461895717364,0.9924778063260179,0.12115598398040679,0.00884828143709108,7.27077,16.217665276774344,7.198254975405
583,2017-09-23 06:00:00+10:00,266,4,23,9,2017,6,0,89.28623450196625,0.9930456726880935,0.12732003044614562,0.0020552109105384762,22.7913,3.0566938150051417,22.56677378718
584,2017-09-23 06:10:00+10:00,266,4,23,9,2017,6,10,86.920290580992,0.9930456726880935,0.12732003044614562,0.0020552109105384762,53.4563,44.85572378364989,52.92968060618
585,2017-09-23 06:20:00+10:00,266,4,23,9,2017,6,20,84.55503358834197,0.9930456726880935,0.12732003044614562,0.0020552109105384762,89.1798,97.93864678859931,88.30125411828
586,2017-09-23 06:30:00+10:00,266,4,23,9,2017,6,30,82.19094515718903,0.9930456726880935,0.12732003044614562,0.0020552109105384762,191.954,160.5544175639705,190.06298436440002
587,2017-09-23 06:40:00+10:00,266,4,23,9,2017,6,40,79.82852250293386,0.9930456726880935,0.12732003044614562,0.0020552109105384762,208.079,231.0241212339659,206.02913053940003
588,2017-09-23 06:50:00+10:00,266,4,23,9,2017,6,50,77.46828550284499,0.9930456726880935,0.12732003044614562,0.0020552109105384762,282.09,307.76318747856243,279.311018574
589,2017-09-23 07:00:00+10:00,266,4,23,9,2017,7,0,75.11078440973276,0.9930456726880935,0.12732003044614562,0.0020552109105384762,517.845,389.29908939862486,512.743501767
590,2017-09-23 07:10:00+10:00,266,4,23,9,2017,7,10,72.75660843513283,0.9930456726880935,0.12732003044614562,0.0020552109105384762,580.843,474.2844648339583,575.1208832698
591,2017-09-23 07:20:00+10:00,266,4,23,9,2017,7,20,70.40639547818532,0.9930456726880935,0.12732003044614562,0.0020552109105384762,351.262,561.505728275907,347.80157753320003
592,2017-09-23 07:30:00+10:00,266,4,23,9,2017,7,30,68.06084333151752,0.9930456726880935,0.12732003044614562,0.0020552109105384762,603.778,649.8873627974916,597.8299414108001
593,2017-09-23 07:40:00+10:00,266,4,23,9,2017,7,40,65.72072276872149,0.9930456726880935,0.12732003044614562,0.0020552109105384762,918.878,738.4921903905521,909.8257652708
594,2017-09-23 07:50:00+10:00,266,4,23,9,2017,7,50,63.38689301456293,0.9930456726880935,0.12732003044614562,0.0020552109105384762,948.659,826.5180130197244,939.3133807274
595,2017-09-23 08:00:00+10:00,266,4,23,9,2017,8,0,61.06032022573992,0.9930456726880935,0.12732003044614562,0.0020552109105384762,1031.31,913.2910933946903,1021.1501526659999
596,2017-09-23 08:10:00+10:00,266,4,23,9,2017,8,10,58.74209977605916,0.9930456726880935,0.12732003044614562,0.0020552109105384762,996.482,998.2570023438299,986.6652572252
597,2017-09-23 08:20:00+10:00,266,4,23,9,2017,8,20,56.43348335761211,0.9930456726880935,0.12732003044614562,0.0020552109105384762,1043.01,1080.9693977992263,1032.734891286
598,2017-09-23 08:30:00+10:00,266,4,23,9,2017,8,30,54.13591219522815,0.9930456726880935,0.12732003044614562,0.0020552109105384762,1282.89,1161.0773184789966,1270.2517374540002
599,2017-09-23 08:40:00+10:00,266,4,23,9,2017,8,40,51.85105804657095,0.9930456726880935,0.12732003044614562,0.0020552109105384762,1202.73,1238.3115737248495,1190.8814256780001
600,2017-09-23 08:50:00+10:00,266,4,23,9,2017,8,50,49.58087415240598,0.9930456726880935,0.12732003044614562,0.0020552109105384762,1332.84,1312.4707905828589,1319.709660024
601,2017-09-23 09:00:00+10:00,266,4,23,9,2017,9,0,47.32765894563592,0.9930456726880935,0.12732003044614562,0.0020552109105384762,1483.49,1383.4076416359794,1468.875546614
602,2017-09-23 09:10:00+10:00,266,4,23,9,2017,9,10,45.094136165504686,0.9930456726880935,0.12732003044614562,0.0020552109105384762,1527.3,1451.0157243471067,1512.25395678
603,2017-09-23 09:20:00+10:00,266,4,23,9,2017,9,20,42.88355610076977,0.9930456726880935,0.12732003044614562,0.0020552109105384762,1266.46,1515.2174972199591,1253.983595956
604,2017-09-23 09:30:00+10:00,266,4,23,9,2017,9,30,40.69982404306365,0.9930456726880935,0.12732003044614562,0.0020552109105384762,1660.13,1575.9536027391446,1643.7753953180002
605,2017-09-23 09:40:00+10:00,266,4,23,9,2017,9,40,38.54766368064286,0.9930456726880935,0.12732003044614562,0.0020552109105384762,1836.74,1633.1738248572917,1818.645539564
606,2017-09-23 09:50:00+10:00,266,4,23,9,2017,9,50,36.4328250337508,0.9930456726880935,0.12732003044614562,0.0020552109105384762,1520.57,1686.8298429366016,1505.590256702
607,2017-09-23 10:00:00+10:00,266,4,23,9,2017,10,0,34.36234836674625,0.9930456726880935,0.12732003044614562,0.0020552109105384762,1677.59,1736.8698577304426,1661.063389874
608,2017-09-23 10:10:00+10:00,266,4,23,9,2017,10,10,32.344896645910275,0.9930456726880935,0.12732003044614562,0.0020552109105384762,1884.53,1783.2350813318276,1865.9647411580002
609,2017-09-23 10:20:00+10:00,266,4,23,9,2017,10,20,30.391168079421725,0.9930456726880935,0.12732003044614562,0.0020552109105384762,1919.4,1825.858004958388,1900.49122284
610,2017-09-23 10:30:00+10:00,266,4,23,9,2017,10,30,28.51439412304185,0.9930456726880935,0.12732003044614562,0.0020552109105384762,1947.23,1864.6622886459636,1928.0470583780002
611,2017-09-23 10:40:00+10:00,266,4,23,9,2017,10,40,26.73091159752209,0.9930456726880935,0.12732003044614562,0.0020552109105384762,1978.13,1899.5640576775065,1958.6426501180001
612,2017-09-23 10:50:00+10:00,266,4,23,9,2017,10,50,25.060761189833897,0.9930456726880935,0.12732003044614562,0.0020552109105384762,2003.29,1930.4743437352245,1983.554788894
613,2017-09-23 11:00:00+10:00,266,4,23,9,2017,11,0,23.528196181196794,0.9930456726880935,0.12732003044614562,0.0020552109105384762,2038.11,1957.3023756927412,2018.031763146
614,2017-09-23 11:10:00+10:00,266,4,23,9,2017,11,10,22.16187436579233,0.9930456726880935,0.12732003044614562,0.0020552109105384762,1780.11,1979.9594064879686,1762.573424346
615,2017-09-23 11:20:00+10:00,266,4,23,9,2017,11,20,20.994362499193137,0.9930456726880935,0.12732003044614562,0.0020552109105384762,1987.04,1998.36275890988,1967.464874144
616,2017-09-23 11:30:00+10:00,266,4,23,9,2017,11,30,20.060473118549208,0.9930456726880935,0.12732003044614562,0.0020552109105384762,2240.61,2012.4397841105501,2218.5368546460004
617,2017-09-23 11:40:00+10:00,266,4,23,9,2017,11,40,19.39403990878036,0.9930456726880935,0.12732003044614562,0.0020552109105384762,1388.36,2022.1314513954244,1374.6827102959999
618,2017-09-23 11:50:00+10:00,266,4,23,9,2017,11,50,19.023231055130672,0.9930456726880935,0.12732003044614562,0.0020552109105384762,2151.79,2027.3953250223344,2130.591855994
619,2017-09-23 12:00:00+10:00,266,4,23,9,2017,12,0,18.96541525454532,0.9930456726880935,0.12732003044614562,0.0020552109105384762,1976.08,2028.2077315733054,1956.612845488
620,2017-09-23 12:10:00+10:00,266,4,23,9,2017,12,10,19.223419912295533,0.9930456726880935,0.12732003044614562,0.0020552109105384762,2000.24,2024.5649777859862,1980.5348356640002
621,2017-09-23 12:20:00+10:00,266,4,23,9,2017,12,20,19.78487978420614,0.9930456726880935,0.12732003044614562,0.0020552109105384762,2117.11,2016.4835410705605,2096.253502546
622,2017-09-23 12:30:00+10:00,266,4,23,9,2017,12,30,20.624998161343594,0.9930456726880935,0.12732003044614562,0.0020552109105384762,1907.18,2003.9992206035142,1888.3916069480001
623,2017-09-23 12:40:00+10:00,266,4,23,9,2017,12,40,21.711407849177068,0.9930456726880935,0.12732003044614562,0.0020552109105384762,1438.8,1987.16530307226,1424.62580568
624,2017-09-23 12:50:00+10:00,266,4,23,9,2017,12,50,23.009192584274118,0.9930456726880935,0.12732003044614562,0.0020552109105384762,1688.9,1966.0498610163106,1672.2619705400002
625,2017-09-23 13:00:00+10:00,266,4,23,9,2017,13,0,24.48469766296036,0.9930456726880935,0.12732003044614562,0.0020552109105384762,2044.29,1940.7323605267259,2024.150881494
626,2017-09-23 13:10:00+10:00,266,4,23,9,2017,13,10,26.10773213471764,0.9930456726880935,0.12732003044614562,0.0020552109105384762,2003.13,1911.2998062627378,1983.3963651180002
627,2017-09-23 13:20:00+10:00,266,4,23,9,2017,13,20,27.852432517986518,0.9930456726880935,0.12732003044614562,0.0020552109105384762,1928.06,1877.842693035021,1909.065909716
628,2017-09-23 13:30:00+10:00,266,4,23,9,2017,13,30,29.697270890523644,0.9930456726880935,0.12732003044614562,0.0020552109105384762,1882.29,1840.4510626590763,1863.746808294
629,2017-09-23 13:40:00+10:00,266,4,23,9,2017,13,40,31.624628174663624,0.9930456726880935,0.12732003044614562,0.0020552109105384762,1874.65,1799.210980900829,1856.1820729900003
630,2017-09-23 13:50:00+10:00,266,4,23,9,2017,13,50,33.620210033763215,0.9930456726880935,0.12732003044614562,0.0020552109105384762,1450.38,1754.20175110805,1436.0917264680002
631,2017-09-23 14:00:00+10:00,266,4,23,9,2017,14,0,35.67245683039003,0.9930456726880935,0.12732003044614562,0.0020552109105384762,1604.22,1705.4941680634643,1588.4161870920002
632,2017-09-23 14:10:00+10:00,266,4,23,9,2017,14,10,37.77201590925872,0.9930456726880935,0.12732003044614562,0.0020552109105384762,1435.2,1653.1500877780531,1421.06127072
633,2017-09-23 14:20:00+10:00,266,4,23,9,2017,14,20,39.911297943932134,0.9930456726880935,0.12732003044614562,0.0020552109105384762,1084.97,1597.223546993248,1074.2815265420002
634,2017-09-23 14:30:00+10:00,266,4,23,9,2017,14,30,42.084116448550226,0.9930456726880935,0.12732003044614562,0.0020552109105384762,995.757,1537.7636112483804,985.9473994902
635,2017-09-23 14:40:00+10:00,266,4,23,9,2017,14,40,44.28540034636914,0.9930456726880935,0.12732003044614562,0.0020552109105384762,1391.56,1474.819064175294,1377.851185816
